number,group,age,gender,education,familyincome,offender,SAVRY1,SAVRY2,SAVRY3,SAVRY4,SAVRY5,SAVRY6,SAVRY7,SAVRY8,SAVRY9,SAVRY10,H,SAVRY11,SAVRY12,SAVRY13,SAVRY14,SAVRY15,SAVRY16,S,SAVRY17,SAVRY18,SAVRY19,SAVRY20,SAVRY21,SAVRY22,SAVRY23,SAVRY24,I,P1,P2,P3,P4,P5,P6,P,Reoffending
04010016,1,17,1,5,3,4,3,2,3,2,1,1,1,1,2,2,2,2,1,2,3,3,1,2,3,2,1,1,2,1,2,3,,1,2,2,2,2,1,4,0
04010007,1,17,1,8,3,4,2,3,2,2,1,2,2,1,2,1,1,1,2,1,3,3,1,2,2,3,2,2,1,1,2,3,,1,2,2,2,2,1,4,0
04010015,1,17,1,9,3,4,3,1,3,1,1,2,2,1,1,3,3,3,1,2,2,1,3,2,3,3,1,2,1,3,1,3,,1,1,1,1,2,1,1,0
03010027,1,17,1,2,3,4,1,1,2,1,1,2,2,1,2,1,0,1,2,1,1,2,2,0,2,1,1,2,1,2,2,1,,1,1,1,1,2,1,1,0
03010032,1,17,1,6,3,3,2,3,3,1,1,3,2,1,2,2,3,2,2,1,2,2,2,0,2,3,1,1,1,2,2,2,1,1,2,2,1,2,2,4,0
05010001,1,16,1,8,3,4,3,1,2,1,3,2,1,2,1,1,2,3,2,1,2,3,2,2,2,2,1,2,2,1,1,3,1,2,2,1,2,2,1,4,0
03010079,1,16,1,8,3,4,1,1,2,3,1,3,2,2,2,2,2,3,2,2,3,1,3,3,2,2,2,1,3,1,1,3,2,1,2,2,1,2,1,3,0
04010046,1,16,1,4,3,4,3,3,2,3,1,3,3,3,2,1,6,2,1,1,3,3,2,2,1,1,1,1,1,1,2,1,0,1,2,2,1,1,1,2,0
04010029,1,16,1,7,3,4,2,1,1,1,1,1,1,1,1,2,0,2,2,1,2,2,2,0,2,2,1,2,1,1,1,2,0,1,2,1,1,2,1,2,0
03010072,1,16,1,9,3,4,3,3,3,1,1,1,1,1,1,1,3,2,1,1,2,1,2,0,1,3,2,1,2,1,1,2,1,1,2,2,1,2,1,3,0
04010063,1,15,1,9,3,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,0,2,1,2,1,2,1,2,3,1,1,2,2,1,2,2,4,0
